DNAExtractionGroup	DNAExtractionBatch	SampleID	Donor	Condition	Replicate	TubePosition	DNAExtractionDate	PowerFecalLot	PowerFecalKit	DNAConcentration	X100ng.DNA	ExtractedBy	sample	Kit	Temperature
1	3	D09_OH_R1	D09	OH	R1	8	August 27, 2021	169031860	CD1 from kit2, else kit 1	91.8	1.09	Dylan	D09.OH.R1	Omnigene	Hot
1	3	D04_ZF_R1	D04	ZF	R1	9	August 27, 2021	169031860	CD1 from kit2, else kit 1	10.2	9.8	Dylan	D04.ZF.R1	Zymo	Frozen
1	3	D10_OR_R1	D10	OR	R1	10	August 27, 2021	169031860	CD1 from kit2, else kit 1	33.2	3.01	Dylan	D10.OR.R1	Omnigene	Room Temp
1	3	D05_ZR_R1	D05	ZR	R1	11	August 27, 2021	169031860	CD1 from kit2, else kit 1	11.8	8.47	Dylan	D05.ZR.R1	Zymo	Room Temp
1	3	D09_ZR_R1	D09	ZR	R1	13	August 27, 2021	169031860	CD1 from kit2, else kit 1	3.18	31.45	Dylan	D09.ZR.R1	Zymo	Room Temp
1	3	D06_OR_R1	D06	OR	R1	15	August 27, 2021	169031860	CD1 from kit2, else kit 1	44.6	2.24	Dylan	D06.OR.R1	Omnigene	Room Temp
1	3	D01_OH_R1	D01	OH	R1	16	August 27, 2021	169031860	CD1 from kit2, else kit 1	60	1.67	Dylan	D01.OH.R1	Omnigene	Hot
1	3	D02_OR_R1	D02	OR	R1	17	August 27, 2021	169031860	CD1 from kit2, else kit 1	79.6	1.26	Dylan	D02.OR.R1	Omnigene	Room Temp
1	3	D07_ZH_R1	D07	ZH	R1	18	August 27, 2021	169031860	CD1 from kit2, else kit 1	7.66	13.05	Dylan	D07.ZH.R1	Zymo	Hot
1	3	D08_ZF_R1	D08	ZF	R1	19	August 27, 2021	169031860	CD1 from kit2, else kit 1	14.2	7.04	Dylan	D08.ZF.R1	Zymo	Frozen
1	4	D04_OF_R1	D04	OF	R1	1	August 27, 2021	169031860	Kit 2	21.6	4.63	Dylan	D04.OF.R1	Omnigene	Frozen
